tokens,types,log_tokens,log_types
1000,754,6.907755278982137,6.625392368007956
2000,1396,7.600902459542082,7.241366283322318
3000,1969,8.006367567650246,7.585281078639126
4000,2523,8.294049640102028,7.833203948641057
5000,3002,8.517193191416238,8.007034012193408
6000,3482,8.699514748210191,8.155362120328135
7000,3903,8.85366542803745,8.269500767180615
8000,4346,8.987196820661973,8.377011160816375
9000,4737,9.104979856318357,8.463159302923751
10000,5135,9.210340371976184,8.543835122362658
11000,5523,9.305650551780507,8.616676469901188
12000,5959,9.392661928770137,8.69265796074698
13000,6377,9.472704636443673,8.760453046315272
14000,6818,9.546812608597396,8.827321452697849
15000,7204,9.615805480084347,8.882391706295847
16000,7548,9.680344001221918,8.92903790648844
17000,7922,9.740968623038354,8.977398978181862
18000,8265,9.798127036878302,9.019785010255125
19000,8619,9.852194258148577,9.061724347647399
20000,8963,9.903487552536127,9.100860271357362
21000,9340,9.95227771670556,9.142061531222888
22000,9644,9.998797732340453,9.174091239301061
23000,9979,10.043249494911286,9.208238163884312
24000,10334,10.085809109330082,9.24319470884713
25000,10613,10.126631103850338,9.269834943761822
26000,10903,10.165851817003619,9.296793259706382
27000,11224,10.203592144986466,9.325809621782296
28000,11616,10.239959789157341,9.360138737064577
29000,11985,10.275051108968611,9.391411146868485
30000,12276,10.308952660644293,9.415401415739627
31000,12586,10.341742483467284,9.440340364086879
32000,12881,10.373491181781864,9.463508636396089
33000,13221,10.404262840448617,9.489561753510097
34000,13489,10.4341158035983,9.50962981746968
35000,13865,10.46310334047155,9.537122958049878
36000,14186,10.491274217438248,9.560010841762033
37000,14504,10.51867319162636,9.582179752434687
38000,14790,10.545341438708522,9.601706555704846
39000,15104,10.571316925111784,9.622714888385282
40000,15408,10.596634733096073,9.642642134037906
41000,15682,10.621327345686446,9.660268836790868
42000,15961,10.645424897265505,9.677903525682558
43000,16265,10.668955394675699,9.696770838907451
44000,16562,10.691944912900398,9.714866193593645
45000,16835,10.714417768752456,9.731215331595175
46000,17049,10.736396675471232,9.74384682996523
47000,17313,10.757902880692196,9.759212943379076
48000,17567,10.778956289890028,9.773777421013383
49000,17811,10.799575577092764,9.787571522938785
50000,18044,10.819778284410283,9.800568498528287
51000,18335,10.839580911706463,9.816567080505427
52000,18617,10.858998997563564,9.831830420771897
53000,18850,10.87804719253426,9.844268192876157
54000,19100,10.896739325546411,9.857443614034722
55000,19349,10.915088464214607,9.87039601753593
56000,19561,10.933106969717286,9.881293067026359
57000,19806,10.950806546816688,9.893740201081249
58000,20035,10.968198289528557,9.905236023070245
59000,20313,10.985292722887856,9.919016354153754
60000,20621,11.002099841204238,9.934065253000266
61000,20966,11.018629143155449,9.950657357012519
62000,21226,11.03488966402723,9.962982124321767
63000,21554,11.05089000537367,9.978316693156778
64000,21890,11.06663836234181,9.993785190516908
65000,22156,11.082142548877775,10.005863619152995
66000,22434,11.097410021008562,10.018332944205168
67000,22659,11.112447898373103,10.028312402981557
68000,22999,11.127262984158243,10.043206015705211
69000,23287,11.141861783579396,10.055650543933236
70000,23556,11.156250521031495,10.067135844064461
71000,23860,11.170435156023453,10.079958695651907
72000,24108,11.184421397998193,10.090299014602934
73000,24338,11.198214720130528,10.099794193896745
74000,24538,11.211820372186306,10.107978215351128
75000,24768,11.225243392518447,10.117307776389454
76000,25002,11.238488619268468,10.126711100650509
77000,25209,11.251560700835821,10.134956352596328
78000,25599,11.26446410567173,10.150308567204695
79000,25992,11.27720313144916,10.165544077348937
80000,26272,11.289781913656018,10.176259012252155
81000,26583,11.302204433654575,10.188027192715412
82000,26841,11.314474526246391,10.197685848215706
83000,27057,11.326595886778735,10.205701030833819
84000,27325,11.33857207782545,10.215557313044739
85000,27520,11.350406535472453,10.22266829204728
86000,27771,11.362102575235644,10.23174758973532
87000,28000,11.37366339763672,10.239959789157341
88000,28210,11.385092093460344,10.247431803996042
89000,28435,11.396391648714276,10.2553760597409
90000,28749,11.407564949312402,10.266358263011872
91000,29077,11.418614785498987,10.277702762639334
92000,29366,11.429543856031177,10.287592821522884
93000,29674,11.440354772135393,10.298026520510739
94000,29961,11.451050061252142,10.307651814911244
95000,30207,11.461632170582678,10.315828964583725
96000,30427,11.472103470449973,10.323085651110205
97000,30639,11.48246625748552,10.330028986246209
98000,30881,11.49272275765271,10.33789638703407
99000,31123,11.502875129116727,10.345702374674325
100000,31365,11.512925464970229,10.353447900530844
101000,31585,11.522875795823397,10.360437603332802
102000,31785,11.532728092266408,10.36674975937051
103000,32012,11.542484267211773,10.373866111486937
104000,32326,11.55214617812351,10.383627138969754
105000,32554,11.56171562913966,10.390655527951443
106000,32780,11.571194373094205,10.397573852297821
107000,32980,11.580584113444043,10.40365659611359
108000,33231,11.589886506106357,10.411238454185042
109000,33500,11.59910316121128,10.419300717813158
110000,33743,11.608235644774552,10.426528267381377
111000,33921,11.617285480294472,10.431789570603355
112000,34179,11.626254150277232,10.439366699366225
113000,34444,11.635143097694478,10.447090095816057
114000,34723,11.643953727376633,10.455157570571497
115000,35002,11.652687407345388,10.463160481696102
116000,35276,11.661345470088502,10.470958125008071
117000,35599,11.669929213779893,10.480072826557953
118000,35939,11.678439903447801,10.489578335799088
119000,36256,11.686878772093667,10.498360163827734
120000,36566,11.695247021764184,10.50687412588845
121000,36853,11.703545824578878,10.514692305429964
122000,37157,11.711776323715394,10.522907457698913
123000,37441,11.719939634354555,10.530521639636548
124000,37736,11.728036844587175,10.538369824964098
125000,38018,11.736069016284437,10.545815010766098
126000,38294,11.744037185933616,10.55304850493315
127000,38579,11.751942365440728,10.560463365957897
128000,38865,11.759785542901755,10.56784938166432
129000,39132,11.76756768334381,10.574695825577319
130000,39430,11.77528972943772,10.582282226871673
131000,39692,11.782952602183288,10.588904935034131
132000,39979,11.790557201568507,10.59610959523532
133000,40194,11.79810440720389,10.601473009736322
134000,40421,11.805595078933049,10.607104730879188
135000,40662,11.813030057420567,10.613049274364167
136000,40877,11.820410164718188,10.618322836666145
137000,41077,11.827736204810263,10.623203633138218
138000,41294,11.835008964139341,10.628472489944825
139000,41561,11.842229212112828,10.634917506521377
140000,41770,11.84939770159144,10.639933657491222
141000,41993,11.856515169360305,10.645258216708406
141008,41998,11.856571905339441,10.645377277084064
